CHR,featureChunkFile
7,exonlist_sorted.chr7.chunk019.gz
7,exonlist_sorted.chr7.chunk020.gz
7,exonlist_sorted.chr7.chunk021.gz
7,exonlist_sorted.chr7.chunk022.gz
7,exonlist_sorted.chr7.chunk023.gz
7,exonlist_sorted.chr7.chunk024.gz
7,exonlist_sorted.chr7.chunk025.gz
7,exonlist_sorted.chr7.chunk026.gz
7,exonlist_sorted.chr7.chunk027.gz
7,exonlist_sorted.chr7.chunk028.gz
7,exonlist_sorted.chr7.chunk029.gz
7,exonlist_sorted.chr7.chunk030.gz
7,exonlist_sorted.chr7.chunk031.gz
7,exonlist_sorted.chr7.chunk032.gz
7,exonlist_sorted.chr7.chunk033.gz
7,exonlist_sorted.chr7.chunk034.gz
7,exonlist_sorted.chr7.chunk035.gz
7,exonlist_sorted.chr7.chunk036.gz
7,exonlist_sorted.chr7.chunk037.gz
7,exonlist_sorted.chr7.chunk038.gz
7,exonlist_sorted.chr7.chunk039.gz
7,exonlist_sorted.chr7.chunk040.gz
7,exonlist_sorted.chr7.chunk041.gz
7,exonlist_sorted.chr7.chunk042.gz
7,exonlist_sorted.chr7.chunk043.gz
7,exonlist_sorted.chr7.chunk044.gz
7,exonlist_sorted.chr7.chunk045.gz
7,exonlist_sorted.chr7.chunk046.gz
7,exonlist_sorted.chr7.chunk047.gz
7,exonlist_sorted.chr7.chunk048.gz
7,exonlist_sorted.chr7.chunk049.gz
7,exonlist_sorted.chr7.chunk050.gz
7,exonlist_sorted.chr7.chunk051.gz
7,exonlist_sorted.chr7.chunk052.gz
7,exonlist_sorted.chr7.chunk053.gz
7,exonlist_sorted.chr7.chunk054.gz
7,exonlist_sorted.chr7.chunk055.gz
7,exonlist_sorted.chr7.chunk056.gz
7,exonlist_sorted.chr7.chunk057.gz
8,exonlist_sorted.chr8.chunk000.gz
8,exonlist_sorted.chr8.chunk001.gz
8,exonlist_sorted.chr8.chunk002.gz
8,exonlist_sorted.chr8.chunk003.gz
8,exonlist_sorted.chr8.chunk004.gz
8,exonlist_sorted.chr8.chunk005.gz
8,exonlist_sorted.chr8.chunk006.gz
8,exonlist_sorted.chr8.chunk007.gz
8,exonlist_sorted.chr8.chunk008.gz
8,exonlist_sorted.chr8.chunk009.gz
8,exonlist_sorted.chr8.chunk010.gz
8,exonlist_sorted.chr8.chunk011.gz
8,exonlist_sorted.chr8.chunk012.gz
8,exonlist_sorted.chr8.chunk013.gz
8,exonlist_sorted.chr8.chunk014.gz
8,exonlist_sorted.chr8.chunk015.gz
8,exonlist_sorted.chr8.chunk016.gz
8,exonlist_sorted.chr8.chunk017.gz
8,exonlist_sorted.chr8.chunk018.gz
8,exonlist_sorted.chr8.chunk019.gz
8,exonlist_sorted.chr8.chunk020.gz
8,exonlist_sorted.chr8.chunk021.gz
8,exonlist_sorted.chr8.chunk022.gz
8,exonlist_sorted.chr8.chunk023.gz
8,exonlist_sorted.chr8.chunk024.gz
8,exonlist_sorted.chr8.chunk025.gz
8,exonlist_sorted.chr8.chunk026.gz
8,exonlist_sorted.chr8.chunk027.gz
8,exonlist_sorted.chr8.chunk028.gz
8,exonlist_sorted.chr8.chunk029.gz
8,exonlist_sorted.chr8.chunk030.gz
8,exonlist_sorted.chr8.chunk031.gz
8,exonlist_sorted.chr8.chunk032.gz
8,exonlist_sorted.chr8.chunk033.gz
8,exonlist_sorted.chr8.chunk034.gz
8,exonlist_sorted.chr8.chunk035.gz
8,exonlist_sorted.chr8.chunk036.gz
8,exonlist_sorted.chr8.chunk037.gz
8,exonlist_sorted.chr8.chunk038.gz
8,exonlist_sorted.chr8.chunk039.gz
8,exonlist_sorted.chr8.chunk040.gz
8,exonlist_sorted.chr8.chunk041.gz
8,exonlist_sorted.chr8.chunk042.gz
8,exonlist_sorted.chr8.chunk043.gz
9,exonlist_sorted.chr9.chunk000.gz
9,exonlist_sorted.chr9.chunk001.gz
9,exonlist_sorted.chr9.chunk002.gz
9,exonlist_sorted.chr9.chunk003.gz
9,exonlist_sorted.chr9.chunk004.gz
9,exonlist_sorted.chr9.chunk005.gz
9,exonlist_sorted.chr9.chunk006.gz
9,exonlist_sorted.chr9.chunk007.gz
9,exonlist_sorted.chr9.chunk008.gz
9,exonlist_sorted.chr9.chunk009.gz
9,exonlist_sorted.chr9.chunk010.gz
9,exonlist_sorted.chr9.chunk011.gz
9,exonlist_sorted.chr9.chunk012.gz
9,exonlist_sorted.chr9.chunk013.gz
9,exonlist_sorted.chr9.chunk014.gz
9,exonlist_sorted.chr9.chunk015.gz
9,exonlist_sorted.chr9.chunk016.gz
9,exonlist_sorted.chr9.chunk017.gz
9,exonlist_sorted.chr9.chunk018.gz
9,exonlist_sorted.chr9.chunk019.gz
9,exonlist_sorted.chr9.chunk020.gz
9,exonlist_sorted.chr9.chunk021.gz
9,exonlist_sorted.chr9.chunk022.gz
9,exonlist_sorted.chr9.chunk023.gz
9,exonlist_sorted.chr9.chunk024.gz
9,exonlist_sorted.chr9.chunk025.gz
9,exonlist_sorted.chr9.chunk026.gz
9,exonlist_sorted.chr9.chunk027.gz
9,exonlist_sorted.chr9.chunk028.gz
9,exonlist_sorted.chr9.chunk029.gz
9,exonlist_sorted.chr9.chunk030.gz
9,exonlist_sorted.chr9.chunk031.gz
9,exonlist_sorted.chr9.chunk032.gz
9,exonlist_sorted.chr9.chunk033.gz
9,exonlist_sorted.chr9.chunk034.gz
9,exonlist_sorted.chr9.chunk035.gz
9,exonlist_sorted.chr9.chunk036.gz
9,exonlist_sorted.chr9.chunk037.gz
9,exonlist_sorted.chr9.chunk038.gz
9,exonlist_sorted.chr9.chunk039.gz
9,exonlist_sorted.chr9.chunk040.gz
9,exonlist_sorted.chr9.chunk041.gz
9,exonlist_sorted.chr9.chunk042.gz
10,exonlist_sorted.chr10.chunk000.gz
10,exonlist_sorted.chr10.chunk001.gz
10,exonlist_sorted.chr10.chunk002.gz
10,exonlist_sorted.chr10.chunk003.gz
10,exonlist_sorted.chr10.chunk004.gz
10,exonlist_sorted.chr10.chunk005.gz
10,exonlist_sorted.chr10.chunk006.gz
10,exonlist_sorted.chr10.chunk007.gz
10,exonlist_sorted.chr10.chunk008.gz
10,exonlist_sorted.chr10.chunk009.gz
10,exonlist_sorted.chr10.chunk010.gz
10,exonlist_sorted.chr10.chunk011.gz
10,exonlist_sorted.chr10.chunk012.gz
10,exonlist_sorted.chr10.chunk013.gz
10,exonlist_sorted.chr10.chunk014.gz
10,exonlist_sorted.chr10.chunk015.gz
10,exonlist_sorted.chr10.chunk016.gz
10,exonlist_sorted.chr10.chunk017.gz
10,exonlist_sorted.chr10.chunk018.gz
10,exonlist_sorted.chr10.chunk019.gz
10,exonlist_sorted.chr10.chunk020.gz
10,exonlist_sorted.chr10.chunk021.gz
10,exonlist_sorted.chr10.chunk022.gz
10,exonlist_sorted.chr10.chunk023.gz
10,exonlist_sorted.chr10.chunk024.gz
10,exonlist_sorted.chr10.chunk025.gz
10,exonlist_sorted.chr10.chunk026.gz
10,exonlist_sorted.chr10.chunk027.gz
10,exonlist_sorted.chr10.chunk028.gz
10,exonlist_sorted.chr10.chunk029.gz
10,exonlist_sorted.chr10.chunk030.gz
