CHR,chromosomeChunk
1,1:9294834-10045559
1,1:9352939-10076078
1,1:9599541-10241297
1,1:9648932-10441661
1,1:9711790-10480201
1,1:9908334-10512210
1,1:9982173-10690815
1,1:10057264-10856707
1,1:10092890-11042094
1,1:10270863-11085796
1,1:10458649-11107290
1,1:10490159-11120081
1,1:10516579-11159938
1,1:10696661-11322564
1,1:11006528-11356106
1,1:11072414-11597641
1,1:11086580-11723384
1,1:11114641-11734411
1,1:11126675-11751707
1,1:11166592-11785914
1,1:11333263-11814859
1,1:11539223-11908402
1,1:11708424-11986485
1,1:11724181-12035595
1,1:11734537-12073571
1,1:11751786-12092102
1,1:11796141-12204264
1,1:11845780-12269285
1,1:11979648-12572099
1,1:11994262-12677737
1,1:12040238-14151574
1,1:12079523-15478960
1,1:12123434-15546976
1,1:12227060-15726779
1,1:12290124-15735929
1,1:12627939-15756839
1,1:14026693-15775737
1,1:14925200-15853029
1,1:15479028-15930121
1,1:15573768-15995539
1,1:15729475-16067891
1,1:15736391-16134194
1,1:15764935-16155167
1,1:15817327-16266955
1,1:15853308-16302627
1,1:15943995-16482582
1,1:16010827-16539104
1,1:16133679-16554522
1,1:16154724-16563657
1,1:16160560-16678949
1,1:16268364-16763919
1,1:16450832-16786573
1,1:16524349-16825752
1,1:16542404-16842249
1,1:16558195-16862144
1,1:16573334-16940057
1,1:16679070-16971178
1,1:16767167-16976914
1,1:16787443-17046652
1,1:16841140-17299474
1,1:16860381-17338423
1,1:16888814-17380665
1,1:16944751-17445948
1,1:16972069-17690499
1,1:17013834-17766220
1,1:17066768-18024369
1,1:17312453-19229275
1,1:17345217-19283180
1,1:17393256-19536770
1,1:17634690-19586622
1,1:17733256-19600688
1,1:17866330-19615744
1,1:19197926-19638640
1,1:19230775-19655794
1,1:19398604-19812066
1,1:19536995-19956314
1,1:19592476-19984945
1,1:19609052-20006055
1,1:19630459-20126438
1,1:19638820-20239438
1,1:19665267-20446050
1,1:19923477-20487061
1,1:19967048-20503917
1,1:19991780-20522541
1,1:20008706-20681387
1,1:20209006-20812713
1,1:20438432-20834654
1,1:20480831-20945401
1,1:20487746-20988000
1,1:20510735-21044510
1,1:20617412-21113816
1,1:20808884-21503377
1,1:20825943-21671997
1,1:20915441-21754460
1,1:20959948-21811498
1,1:20990507-21904905
1,1:21069154-21917680
1,1:21132963-21995801
1,1:21543740-22110099
1,1:21751118-22263790
1,1:21766621-22357716
1,1:21835858-22419437
1,1:21912965-22427853
1,1:21922708-22470462
1,1:22004791-22857650
1,1:22138758-22966101
1,1:22351681-22974603
1,1:22379120-22988031
1,1:22427106-23241818
1,1:22443798-23410182
1,1:22778344-23504301
1,1:22962999-23613245
1,1:22970123-23670829
1,1:22979255-23698332
1,1:23037332-23705522
1,1:23345941-23751233
1,1:23410516-23811061
1,1:23607802-23857712
1,1:23630264-23886285
1,1:23685941-23967058
1,1:23704873-24022915
1,1:23707554-24104777
1,1:23755056-24114722
1,1:23832922-24122029
1,1:23884409-24127271
1,1:23907985-24165110
1,1:24018269-24194784
1,1:24069645-24285549
1,1:24104895-24289952
1,1:24117460-24307417
1,1:24122089-24514449
1,1:24128375-24799466
1,1:24171567-24867530
1,1:24197016-24935819
1,1:24285599-24999758
1,1:24291294-25170815
1,1:24480647-25291612
1,1:24683489-25558993
1,1:24829387-25756683
1,1:24882602-25826700
1,1:24958207-25895377
1,1:25071848-25916847
1,1:25226002-26112698
1,1:25549170-26185903
1,1:25568728-26197744
1,1:25757388-26233482
1,1:25870071-26324648
1,1:25907969-26372624
1,1:25943959-26452034
1,1:26126667-26498551
1,1:26187701-26516377
1,1:26210672-26605299
1,1:26286258-26647014
1,1:26363743-26680621
1,1:26437664-26701013
1,1:26496362-26797785
1,1:26503894-26802463
1,1:26560691-26901521
1,1:26605667-27020622
1,1:26648350-27108595
1,1:26688125-27124889
1,1:26758773-27184093
1,1:26798941-27190947
1,1:26856252-27216788
1,1:27018623-27273353
1,1:27022524-27286897
1,1:27113963-27327389
1,1:27153201-27493472
1,1:27189633-27635110
1,1:27202624-27638329
1,1:27216979-27662891
1,1:27276053-27680421
1,1:27320198-27693383
1,1:27425306-27722318
1,1:27561007-27816669
1,1:27637731-27857072
1,1:27648651-27930942
1,1:27668513-27961788
1,1:27681675-27998729
1,1:27719148-28089633
1,1:27730730-28150963
1,1:27852316-28178187
1,1:27860546-28213196
1,1:27938575-28241257
1,1:27992572-28285668
1,1:28052490-28294607
1,1:28099694-28415207
1,1:28157289-28422933
1,1:28199055-28520447
1,1:28218035-28559536
1,1:28261504-28573417
1,1:28285973-28609002
1,1:28296855-28662476
1,1:28421582-28826881
1,1:28473677-28865812
1,1:28525967-28909495
1,1:28562620-28969597
1,1:28586038-28975093
1,1:28655513-29045865
1,1:28696114-29096287
1,1:28832455-29446553
1,1:28879597-29508499
1,1:28915835-29557454
1,1:28969740-29653325
1,1:28995244-31199674
1,1:29063133-31230667
1,1:29213603-31381608
1,1:29474255-31538838
1,1:29519385-31769662
1,1:29563028-31837783
1,1:31184124-31849697
1,1:31205316-31907525
1,1:31342314-31989846
1,1:31404353-32110497
1,1:31732417-32230494
1,1:31769842-32281652
1,1:31838472-32410457
1,1:31882412-32568467
1,1:31984036-32642169
1,1:32095463-32663886
1,1:32192718-32674288
1,1:32256023-32697205
1,1:32372022-32707221
1,1:32479430-32714457
1,1:32573639-32751766
1,1:32645287-32799236
1,1:32665987-32801980
1,1:32674695-32829913
1,1:32697259-32860332
1,1:32712834-33116504
1,1:32716840-33151812
1,1:32757687-33240571
1,1:32799433-33324476
1,1:32817122-33338083
1,1:32830704-33430286
1,1:33005028-33446073
1,1:33116743-33453834
1,1:33207486-33546597
1,1:33240840-33586131
1,1:33327869-33647660
1,1:33402046-33766320
1,1:33445543-33896653
1,1:33452553-33962107
1,1:33473585-35325417
1,1:33546705-35395186
1,1:33611003-35497569
1,1:33722146-35581460
1,1:33772967-35658749
1,1:33938246-35887659
1,1:35178338-36032875
1,1:35331037-36060929
1,1:35439957-36107445
1,1:35525387-36185073
1,1:35641979-36235568
1,1:35734568-36323491
1,1:35899091-36395211
1,1:36035414-36538101
1,1:36067185-36559533
1,1:36179476-36590821
1,1:36185819-36615098
1,1:36273773-36646450
1,1:36335409-36770958
1,1:36396319-36794822
1,1:36554476-36851497
1,1:36560837-36863493
1,1:36602173-36916086
1,1:36621180-36930038
1,1:36690017-36948879
1,1:36771988-37940012
1,1:36805225-37949980
1,1:36856839-37980375
1,1:36881428-38019903
1,1:36921319-38061536
1,1:36931644-38157914
1,1:37920480-38175391
1,1:37940153-38230805
1,1:37958176-38266809
1,1:38000050-38275126
1,1:38032417-38325292
1,1:38147242-38412729
1,1:38158090-38456593
1,1:38179552-38471278
1,1:38259474-38490496
1,1:38268616-39325495
1,1:38275239-39407471
1,1:38326369-39471731
1,1:38422647-39500308
1,1:38462442-39952849
1,1:38474930-40024379
1,1:39303870-40042462
1,1:39325672-40157361
1,1:39456895-40254533
1,1:39491990-40255843
1,1:39546988-40349183
1,1:39957318-40367928
1,1:40026488-40435638
1,1:40144320-40538321
1,1:40157854-40563375
1,1:40254648-40706593
1,1:40306723-40723639
1,1:40361098-40759856
1,1:40420802-40783488
1,1:40505905-40888998
1,1:40538379-40929390
1,1:40627045-40932436
1,1:40722099-40974333
1,1:40723779-40982228
1,1:40766159-41013841
1,1:40810522-41131329
1,1:40915774-41237275
1,1:40929991-41306124
1,1:40942887-41328018
1,1:40974413-41478235
1,1:40997233-41488909
1,1:41086351-41707826
1,1:41156052-42501596
1,1:41249684-42801548
1,1:41326729-42888249
1,1:41445007-43120335
1,1:41481269-43142429
1,1:41492872-43168020
1,1:41972036-43232755
1,1:42642210-43263968
1,1:42846466-43312093
1,1:42896000-43318148
1,1:43124096-43424530
1,1:43148098-43449029
1,1:43212006-43736607
1,1:43232940-43788779
1,1:43272723-43818443
1,1:43312280-43824329
1,1:43391052-43828874
1,1:43424720-43833696
1,1:43629846-43855479
1,1:43766664-43919660
1,1:43803478-44089343
1,1:43820355-44396831
1,1:43824626-44412223
1,1:43829068-44433694
1,1:43849588-44439041
1,1:43855553-44443967
1,1:43990858-44456840
1,1:44115829-44497139
1,1:44410042-44570647
1,1:44412611-44686353
1,1:44435672-44820932
1,1:44440159-45140227
1,1:44444615-45191263
1,1:44457031-45233439
1,1:44501798-45244451
1,1:44679127-45253377
1,1:44686742-45271662
1,1:44870866-45281257
1,1:45140364-45308735
1,1:45205490-45452282
1,1:45240923-45477001
1,1:45249257-45481247
1,1:45265897-45771881
1,1:45274154-45956872
1,1:45285516-45988719
1,1:45316450-46035721
1,1:45468212-46084566
1,1:45477819-46089729
1,1:45482071-46216322
1,1:45794835-46501796
1,1:45965725-46642160
1,1:46016215-46686933
1,1:46049518-46769280
1,1:46085716-46782448
1,1:46092976-46830824
1,1:46252659-46879520
1,1:46505812-46911193
1,1:46654354-46915376
1,1:46713360-47082563
1,1:46769303-47184824
1,1:46805849-47285085
1,1:46859937-47646011
1,1:46897801-47656716
1,1:46912345-47697892
1,1:47004368-47779819
1,1:47098409-47844511
1,1:47223510-47900313
1,1:47562325-47906363
1,1:47649265-48714316
1,1:47681962-48937845
1,1:47715811-50489585
1,1:47799469-51425935
1,1:47897805-51440305
1,1:47901689-51739127
1,1:48688357-51810788
1,1:48761044-51985000
1,1:48998527-52344477
1,1:50905150-52456436
1,1:51426417-52556388
1,1:51701943-52831865
1,1:51752930-52870131
1,1:51819935-53019159
1,1:52042851-53074723
1,1:52373628-53135355
1,1:52485803-53164038
1,1:52608046-53293014
1,1:52838501-53392884
1,1:52870236-53517375
1,1:53068044-53551174
1,1:53099016-53608289
1,1:53152508-53686289
1,1:53192126-53704282
1,1:53361656-53793742
1,1:53392901-53833917
1,1:53527854-54304533
1,1:53552855-54356407
1,1:53662101-54376759
1,1:53692564-54411602
1,1:53711217-54433841
1,1:53832340-54519177
1,1:54231133-54578192
1,1:54317392-54879152
1,1:54356912-55104865
1,1:54382247-55208330
1,1:54411750-55230187
1,1:54497347-55266940
1,1:54519260-55307925
1,1:54638009-55352891
1,1:55007930-55680786
1,1:55107459-56200675
1,1:55222571-57110974
1,1:55245385-59012474
1,1:55271736-59043166
1,1:55315306-59165764
1,1:55532032-59249785
1,1:56046710-59362375
1,1:56960419-59553867
1,1:57460451-60233347
1,1:59041099-60342050
1,1:59120411-60392462
1,1:59246465-61928465
1,1:59348540-62191095
1,1:59522315-62629592
1,1:59762310-62678000
1,1:60280458-62917475
1,1:60358980-63153969
1,1:61330931-63331184
1,1:62146718-63904233
1,1:62208149-64125916
1,1:62660503-65158741
1,1:62901968-65432187
1,1:62920399-65468159
1,1:63249806-65469770
1,1:63833261-65697828
1,1:63906441-65881552
1,1:64936428-66107242
1,1:65210778-66840259
1,1:65437908-67213982
1,1:65469153-67390570
1,1:65613232-67454302
1,1:65713902-67519782
1,1:65886248-67725662
1,1:66258197-67862583
1,1:66999066-67896098
1,1:67278568-68154021
1,1:67390578-68698803
1,1:67465015-70671303
1,1:67632083-70718735
1,1:67773047-70820417
1,1:67873493-70851022
1,1:68150744-70905534
1,1:68297986-71546980
1,1:70034081-72748417
1,1:70671365-75009666
1,1:70726271-75232362
1,1:70820488-76076801
1,1:70876901-76260764
1,1:71514538-77100286
1,1:71861623-77685115
1,1:74663896-78025651
1,1:75171170-78149104
1,1:75667816-78225537
1,1:76190036-78344106
1,1:76540404-78409580
1,1:77554675-78444794
1,1:77747736-78483648
1,1:78028101-79111830
1,1:78161672-79129763
1,1:78245309-81112473
1,1:78347033-84464833
1,1:78409740-84543614
1,1:78444859-84704181
1,1:79085607-84963473
1,1:79115481-85040163
1,1:81001440-85156486
1,1:84330711-85358896
1,1:84542014-85462796
1,1:84543745-85514182
1,1:84944942-85666729
1,1:84964008-85725355
1,1:85109390-85742773
1,1:85277285-86174116
1,1:85391268-86622626
1,1:85483765-86862023
1,1:85622556-87170145
1,1:85715639-87213867
1,1:85731931-87380107
1,1:86115106-87634881
1,1:86194916-87814606
1,1:86814344-89301938
1,1:87169185-89357627
1,1:87170259-89389527
1,1:87328132-89458643
1,1:87380331-89488577
1,1:87794151-89531043
1,1:89149905-89570450
1,1:89318615-89616139
1,1:89389053-89664615
1,1:89401456-89738544
1,1:89472349-89852020
1,1:89518002-89891802
1,1:89569968-90098453
1,1:89571815-90235462
1,1:89646831-90256051
1,1:89724633-90286427
1,1:89829617-90402170
1,1:89873238-90501090
1,1:89990395-91487829
1,1:90098631-91991321
1,1:90254473-92371892
1,1:90285733-92650280
1,1:90286573-92867613
1,1:90460671-92952433
1,1:91380859-93257961
1,1:91966408-93307481
1,1:92145902-93427057
1,1:92632542-93604638
1,1:92711959-93835055
1,1:92940319-93850555
1,1:92974253-94020218
1,1:93297582-94312706
1,1:93307724-94345474
1,1:93544792-94374966
1,1:93615299-94740624
1,1:93850044-94984222
1,1:93913688-95285837
1,1:94027347-95392834
1,1:94333373-95538501
1,1:94350761-95712781
1,1:94614544-96913874
1,1:94883933-97289294
1,1:95104017-98386605
1,1:95362507-100232187
1,1:95439963-100389579
1,1:95582894-100492535
1,1:96912486-100501188
1,1:97187221-100548933
1,1:97543299-100598511
1,1:100174259-100643771
1,1:100315640-100715390
1,1:100435345-100758325
1,1:100496122-100985833
1,1:100503653-101361554
1,1:100549119-101447309
1,1:100598706-101552821
1,1:100652475-101702084
1,1:100731763-101707074
1,1:100810584-101709305
1,1:101337943-104122156
1,1:101361632-107601916
1,1:101455179-108507766
1,1:101701239-108617141
1,1:101702444-108744113
1,1:101708714-109187522
1,1:104068313-109204148
1,1:107599267-109244425
1,1:108113782-109352148
1,1:108614104-109506111
1,1:108676658-109584850
1,1:109102711-109618624
1,1:109190912-109639556
1,1:109234945-109749401
1,1:109289296-109780791
1,1:109417972-109818372
1,1:109512836-109825808
1,1:109605108-109940573
1,1:109630593-109969062
1,1:109656301-110035426
1,1:109756540-110045554
1,1:109792641-110052360
1,1:109822178-110091028
1,1:109852192-110136975
1,1:109941653-110174673
1,1:110026101-110208118
1,1:110036674-110252171
1,1:110046797-110318050
1,1:110082494-110473614
1,1:110091233-110566357
1,1:110158726-110617263
1,1:110198703-110825722
1,1:110210644-110889299
1,1:110254864-110974982
1,1:110452864-111174096
1,1:110527308-111199662
1,1:110574199-111217655
1,1:110753965-111442550
1,1:110828997-111506701
1,1:110905470-111727724
1,1:111136202-111786062
1,1:111196182-111895635
1,1:111214310-111970399
1,1:111415775-111975690
1,1:111486089-111980659
1,1:111659955-112005395
1,1:111729796-112021134
1,1:111888910-112310638
1,1:111956936-112531777
1,1:111973668-112541464
1,1:111980136-113006078
1,1:111981260-113214241
1,1:112016414-113243368
1,1:112025970-113258099
1,1:112313284-113542118
1,1:112532392-113615727
1,1:112938803-113674882
1,1:113009163-114228545
1,1:113215763-114302111
1,1:113243728-114355098
1,1:113454469-114456708
1,1:113554309-114520426
1,1:113615831-115053781
1,1:113933371-115124260
1,1:114239453-115213043
1,1:114304454-115259515
1,1:114356433-115301297
1,1:114466622-115323306
1,1:114935399-115537991
1,1:115110178-115632121
1,1:115125469-115645279
1,1:115247090-116240845
1,1:115259534-116612675
1,1:115312100-116961244
1,1:115397424-117021464
1,1:115590632-117041834
1,1:115642293-117113661
1,1:116184574-117311850
1,1:116519119-117318245
1,1:116915290-117532980
1,1:116966346-117579167
1,1:117035645-117650075
1,1:117057157-117665209
1,1:117297007-118071494
1,1:117317726-118170994
1,1:117452679-118472253
1,1:117544382-118509165
1,1:117602925-119818596
1,1:117653682-120141894
1,1:117910071-120190396
1,1:118148556-120286838
1,1:118406107-120354283
1,1:118472343-120453236
1,1:119573839-120612240
1,1:120140325-120855681
1,1:120162045-120935937
1,1:120202421-121129949
1,1:120336641-121171134
1,1:120451878-121260627
1,1:120454176-121310591
1,1:120837756-121322322
1,1:120925634-143745417
1,1:121107124-143767881
1,1:121154579-144094424
1,1:121260164-144224481
1,1:121261143-144679969
1,1:121315744-144835867
1,1:143647638-145076186
1,1:143767144-145382434
1,1:143913615-145470388
1,1:144146808-145508503
1,1:144676874-145516076
1,1:144833168-145523730
1,1:144836157-145543868
1,1:145373054-145568526
1,1:145456236-145589439
1,1:145475982-145611025
1,1:145509752-145715614
1,1:145516252-145764074
1,1:145524891-145827103
1,1:145549230-146596107
1,1:145575233-146644129
1,1:145592605-146767443
1,1:145695798-147098017
1,1:145726918-147142618
1,1:145764411-147465753
1,1:146490895-147901508
1,1:146626685-148248104
1,1:146644350-148761018
1,1:147013182-149232554
1,1:147101453-149286975
1,1:147400506-149379646
1,1:147887350-149783928
1,1:148246959-149815100
1,1:148760506-149820591
1,1:149230716-149822339
1,1:149284645-149823191
1,1:149372292-149858232
1,1:149754227-149858961
1,1:149814608-149872351
1,1:149816065-149889434
1,1:149821760-149900236
1,1:149822643-149908791
1,1:149856010-150117505
1,1:149858525-150136916
1,1:149859440-150208504
1,1:149874870-150237478
1,1:149895209-150253327
1,1:149900543-150259505
1,1:150039369-150325671
1,1:150121373-150449042
1,1:150190717-150480078
1,1:150229554-150486265
1,1:150237804-150533413
1,1:150254953-150533969
1,1:150293925-150552066
1,1:150335567-150602088
1,1:150459887-150669630
1,1:150480538-150693364
1,1:150521040-150738433
1,1:150533480-150780799
1,1:150547032-150849244
1,1:150573327-150947479
1,1:150618701-150968110
1,1:150670536-150980851
1,1:150702672-151008189
1,1:150768684-151020076
1,1:150782181-151042801
1,1:150898739-151098018
1,1:150954493-151119104
1,1:150969025-151167797
1,1:150980896-151222012
1,1:151009046-151239955
1,1:151020216-151300191
1,1:151043054-151320503
1,1:151104161-151345209
1,1:151129105-151374420
1,1:151170425-151431941
1,1:151227179-151556059
1,1:151252500-151671567
1,1:151313116-151766878
1,1:151336778-151804348
1,1:151372010-151813033
1,1:151375200-151826173
1,1:151512781-151882284
1,1:151584541-151966866
1,1:151732119-152020383
1,1:151778547-152332482
1,1:151810295-153333503
1,1:151814353-153348125
1,1:151846060-153363664
1,1:151955391-153508720
1,1:151967007-153514241
1,1:152321211-153522612
1,1:153330330-153618782
1,1:153346184-153634306
1,1:153362508-153643524
1,1:153506079-153746555
1,1:153509623-153752633
1,1:153516089-153895451
1,1:153591263-153919172
1,1:153631130-153931101
1,1:153634512-153950164
1,1:153700543-153951636
1,1:153746830-153958834
1,1:153777201-153964626
1,1:153901977-154167124
1,1:153920145-154243986
1,1:153931575-154248351
1,1:153950219-154297801
1,1:153954127-154323783
1,1:153963235-154441926
1,1:154127784-154474589
1,1:154179182-154531504
1,1:154244987-154552502
1,1:154293566-154600475
1,1:154298029-154842756
1,1:154374804-154909467
1,1:154442248-154928599
1,1:154521053-154946871
1,1:154540257-154951725
1,1:154554538-154965587
1,1:154669931-155006257
1,1:154897210-155035252
1,1:154916552-155060014
1,1:154929502-155107333
1,1:154947129-155111329
1,1:154955814-155113071
1,1:154975127-155157447
1,1:155006300-155162707
1,1:155036207-155183615
1,1:155099936-155197214
1,1:155107820-155214490
1,1:155112367-155225274
1,1:155141884-155232221
1,1:155158300-155259639
1,1:155165379-155300905
1,1:155183616-155533775
1,1:155204243-155829191
1,1:155216996-155854990
1,1:155225770-155881195
1,1:155232659-155904191
1,1:155278539-155976861
1,1:155305059-155990750
1,1:155579979-156023585
1,1:155829300-156028301
1,1:155867599-156040295
1,1:155882834-156109880
1,1:155916630-156147543
1,1:155978839-156182587
1,1:156005092-156213123
1,1:156024543-156217881
1,1:156030951-156252620
1,1:156052364-156265463
1,1:156117157-156337664
1,1:156163880-156400493
1,1:156182773-156470620
1,1:156213206-156542396
1,1:156219015-156556562
1,1:156252726-156564091
1,1:156278759-156571288
1,1:156374042-156675608
1,1:156433519-156682966
1,1:156495197-156706752
1,1:156549519-156711382
1,1:156561554-156770607
1,1:156564279-156851642
1,1:156669398-156886226
1,1:156682004-157015162
1,1:156691683-157108266
1,1:156707095-157252858
1,1:156711899-157522310
1,1:156776035-157670647
1,1:156863490-157746922
1,1:156904632-157789895
1,1:157090983-158154686
1,1:157250506-158228059
1,1:157483167-158263420
1,1:157644111-158301321
1,1:157715523-158327343
1,1:157764193-158656488
1,1:158149737-158779125
1,1:158223927-158819296
1,1:158259576-158946844
1,1:158297741-159024945
1,1:158323254-159116886
1,1:158580496-159176290
1,1:158778189-159278014
1,1:158801107-159752333
1,1:158900586-159786041
1,1:158969758-159832447
1,1:159032274-159837475
1,1:159173097-159869953
1,1:159259504-159895522
1,1:159750722-159915386
1,1:159770301-159948851
1,1:159796540-159996584
1,1:159836744-160001783
1,1:159842154-160040038
1,1:159887897-160068733
1,1:159896829-160156767
1,1:159931008-160171676
1,1:159994743-160185166
1,1:159997462-160256138
1,1:160007257-160328742
1,1:160061130-160342638
1,1:160121360-160493052
1,1:160160285-160549306
1,1:160171989-160617085
1,1:160185505-160681641
1,1:160259063-160724611
1,1:160336857-160798051
1,1:160454820-160832692
1,1:160510885-160854960
1,1:160577890-161008780
1,1:160639938-161015767
1,1:160709037-161039760
1,1:160765864-161070136
1,1:160799950-161102478
1,1:160846329-161128646
1,1:160965001-161135513
1,1:161009041-161147803
1,1:161016736-161184185
1,1:161068151-161190489
1,1:161070346-161208092
1,1:161122566-161279762
1,1:161129240-161332984
1,1:161136200-161648444
1,1:161154098-161684142
1,1:161185024-161697933
1,1:161195793-161727028
1,1:161274525-161933860
1,1:161284047-161993644
1,1:161475220-162356600
1,1:161676762-162381928
1,1:161691353-162499419
1,1:161719548-162569627
1,1:161736084-162782607
1,1:161952982-163325554
1,1:162336698-164868533
1,1:162365056-165631033
1,1:162467041-165668100
1,1:162531323-165880855
1,1:162760492-166136206
1,1:163080911-166825581
1,1:164524821-166845564
1,1:165600098-166944719
1,1:165631453-167059868
1,1:165696032-167189749
1,1:166026674-167396582
1,1:166808681-167487847
1,1:166825747-167523004
1,1:166882443-167675486
1,1:167022073-167761156
1,1:167189068-168045081
1,1:167190066-168169950
1,1:167399877-168222263
1,1:167498914-168283664
1,1:167596622-168513235
1,1:167690429-168551315
1,1:167885967-169337205
1,1:168148171-169365778
1,1:168195176-169455241
1,1:168250278-169555826
1,1:168510003-169599431
1,1:168545711-169863408
1,1:169074935-170054349
1,1:169337208-170522587
1,1:169433147-171086959
1,1:169483404-171311223
1,1:169558087-171562650
1,1:169631245-171711387
1,1:169890467-171783163
1,1:170501270-172413230
1,1:171060018-172580971
1,1:171283347-172636014
1,1:171454651-173176452
1,1:171669300-173430501
1,1:171750788-173457946
1,1:171810621-173755840
1,1:172501489-173827684
1,1:172628154-173872687
1,1:173152873-173991435
1,1:173386932-174964445
1,1:173446405-174992561
1,1:173684080-175162135
1,1:173768688-175712906
1,1:173832386-175889649
1,1:173900352-176176629
1,1:174084438-177953438
1,1:174968300-178007085
1,1:175126123-178448644
1,1:175284330-178518024
1,1:175873898-178889238
1,1:175913967-179045697
1,1:177893091-179067158
1,1:177975271-179198819
1,1:178060643-179327815
1,1:178482212-179846938
1,1:178693441-179894135
1,1:178994939-179923575
1,1:179050512-180084015
1,1:179068462-180173165
1,1:179262925-180249380
1,1:179809102-180859387
1,1:179850742-180992047
1,1:179922319-181031074
1,1:179923873-181059977
1,1:180123969-181777219
1,1:180199421-182283196
1,1:180601140-182361341
1,1:180882290-182558391
1,1:181003067-182573543
1,1:181057638-182799519
1,1:181382238-182856886
1,1:182098445-183114727
1,1:182350839-183440881
1,1:182542769-183567381
1,1:182567758-183604892
1,1:182758428-183897665
1,1:182808504-184006863
1,1:182992595-184043346
1,1:183430009-184598154
1,1:183441351-184724047
1,1:183592401-184943682
1,1:183605220-185071740
1,1:183898796-185126204
1,1:184020811-185260897
1,1:184356192-185286461
1,1:184659365-186344825
1,1:184759858-186390510
1,1:185014496-186649559
1,1:185087220-186958113
1,1:185126212-192154945
1,1:185265520-192549161
1,1:186265405-192781403
1,1:186344890-193060907
1,1:186640923-193075244
1,1:186798085-193223031
1,1:192127587-196716634
1,1:192544857-197115824
1,1:192778169-197169672
1,1:192981380-197447585
1,1:193065598-197744826
1,1:193091147-198291550
1,1:196621008-198726545
1,1:197053258-200343482
1,1:197122810-200379184
1,1:197170592-200589862
1,1:197473878-200663378
1,1:198126093-200829832
1,1:198607801-200843306
1,1:200311672-200992828
1,1:200374068-200997920
1,1:200520628-201140702
1,1:200593024-201438365
1,1:200708686-201502736
1,1:200842083-201796102
1,1:200938520-201853422
1,1:200993077-201861434
1,1:201103900-201915715
1,1:201434620-201939789
1,1:201452658-201986316
1,1:201592411-202113869
1,1:201798269-202130716
1,1:201857808-202158583
1,1:201865580-202288909
1,1:201924619-202311108
1,1:201951500-202679545
1,1:202091986-202778598
1,1:202116141-202844369
1,1:202137179-202858263
1,1:202163029-202897764
1,1:202300785-202927700
1,1:202317827-202936408
1,1:202696526-202993976
1,1:202830882-203047868
1,1:202848085-203136533
1,1:202860228-203144941
1,1:202909951-203155877
1,1:202930997-203242769
1,1:202976514-203257929
1,1:202995626-203274437
1,1:203059782-203278730
1,1:203136939-203713209
1,1:203148059-203745361
1,1:203181955-203823252
1,1:203256280-203839678
1,1:203267886-204096863
1,1:203274619-204121307
1,1:203595689-204346793
1,1:203734304-204380919
1,1:203764782-204463852
1,1:203830731-204542871
1,1:204042243-204585693
1,1:204100190-204654861
1,1:204187979-205053645
